Times,Agents,Algorithm,Range
143,2,RB,50
55,2,RB,50
92,2,RB,50
38,2,RB,50
50,2,RB,50
105,2,RB,50
33,2,RB,50
103,2,RB,50
56,2,RB,50
30,2,RB,50
60,2,RB,50
113,2,RB,50
45,2,RB,50
105,2,RB,50
39,2,RB,50
28,2,RB,50
65,2,RB,50
72,2,RB,50
81,2,RB,50
85,2,RB,50
125,2,RB,50
73,2,RB,50
99,2,RB,50
44,2,RB,50
89,2,RB,50
95,2,RB,50
83,2,RB,50
32,2,RB,50
80,2,RB,50
67,2,RB,50
39,2,RB,50
90,2,RB,50
85,2,RB,50
111,2,RB,50
92,2,RB,50
107,2,RB,50
57,2,RB,50
84,2,RB,50
77,2,RB,50
133,2,RB,50
126,2,RB,50
93,2,DFS,50
40,2,DFS,50
61,2,DFS,50
31,2,DFS,50
34,2,DFS,50
71,2,DFS,50
30,2,DFS,50
70,2,DFS,50
45,2,DFS,50
22,2,DFS,50
41,2,DFS,50
83,2,DFS,50
33,2,DFS,50
68,2,DFS,50
29,2,DFS,50
24,2,DFS,50
44,2,DFS,50
49,2,DFS,50
57,2,DFS,50
65,2,DFS,50
74,2,DFS,50
45,2,DFS,50
71,2,DFS,50
31,2,DFS,50
69,2,DFS,50
63,2,DFS,50
65,2,DFS,50
26,2,DFS,50
64,2,DFS,50
45,2,DFS,50
31,2,DFS,50
57,2,DFS,50
65,2,DFS,50
81,2,DFS,50
69,2,DFS,50
71,2,DFS,50
42,2,DFS,50
51,2,DFS,50
47,2,DFS,50
92,2,DFS,50
86,2,DFS,50
92,2,RB,100
60,2,RB,100
74,2,RB,100
73,2,RB,100
100,2,RB,100
30,2,RB,100
56,2,RB,100
82,2,RB,100
76,2,RB,100
55,2,RB,100
80,2,RB,100
56,2,RB,100
119,2,RB,100
44,2,RB,100
150,2,RB,100
113,2,RB,100
134,2,RB,100
42,2,RB,100
63,2,RB,100
110,2,RB,100
116,2,RB,100
89,2,RB,100
124,2,RB,100
99,2,RB,100
108,2,RB,100
49,2,RB,100
80,2,RB,100
128,2,RB,100
125,2,RB,100
58,2,RB,100
124,2,RB,100
68,2,RB,100
103,2,RB,100
110,2,RB,100
100,2,RB,100
54,2,RB,100
122,2,RB,100
147,2,RB,100
44,2,RB,100
90,2,RB,100
55,2,RB,100
104,2,RB,100
